NDQ267;30A-59A;
NDQ268;60A+;
NDQ269;0d-11A;dbo.Multiples_SinCert('fisico', 'mental', 'N,C,R')
NDQ270;12A-17A;
NDQ271;18A-29A;
NDQ272;30A-59A;
NDQ273;60A+;
NDQ274;0d-11A;dbo.Multiples_SinCert('mental', 'físico', 'N,C,R')
NDQ275;12A-17A;
NDQ276;18A-29A;
NDQ277;30A-59A;
NDQ278;60A+;
NDQ279;0d-11A;dbo.Multiples_SinCert('sensorial', 'mental', 'N,C,R')
NDQ280;12A-17A;
NDQ281;18A-29A;
NDQ282;30A-59A;
NDQ283;60A+;
NDQ284;0d-11A;dbo.Multiples_SinCert('mental', 'sensorial', 'N,C,R')
NDQ285;12A-17A;
NDQ286;18A-29A;
NDQ287;30A-59A;
NDQ288;60A+;
NDQ289;0d-11A;dbo.Multiples_Triple_SinCert('N,C,R')
NDQ290;12A-17A;
NDQ291;18A-29A;
NDQ292;30A-59A;
NDQ293;60A+;
NDQ294;0d-11A;dbo.Multiples_EnRiesgo('fisico', 'sensorial', 'N,C,R')
NDQ295;12A-17A;
NDQ296;18A-29A;
NDQ297;30A-59A;
NDQ298;60A+;
NDQ299;0d-11A;dbo.Multiples_EnRiesgo('sensorial', 'físico', 'N,C,R')
NDQ300;12A-17A;
NDQ301;18A-29A;
NDQ302;30A-59A;
NDQ303;60A+;
NDQ304;0d-11A;dbo.Multiples_EnRiesgo('fisico', 'mental', 'N,C,R')
NDQ305;12A-17A;
NDQ306;18A-29A;
NDQ307;30A-59A;
NDQ308;60A+;
NDQ309;0d-11A;dbo.Multiples_EnRiesgo('mental', 'físico', 'N,C,R')
NDQ310;12A-17A;
NDQ311;18A-29A;
NDQ312;30A-59A;
NDQ313;60A+;
NDQ314;0d-11A;dbo.Multiples_EnRiesgo('sensorial', 'mental', 'N,C,R')
NDQ315;12A-17A;
NDQ316;18A-29A;
NDQ317;30A-59A;
NDQ318;60A+;
NDQ319;0d-11A;dbo.Multiples_EnRiesgo('mental', 'sensorial', 'N,C,R')
NDQ320;12A-17A;
NDQ321;18A-29A;
NDQ322;30A-59A;
NDQ323;60A+;
NDQ324;0d-11A;dbo.Multiples_Triple_EnRiesgo('N,C,R')
NDQ325;12A-17A;
NDQ326;18A-29A;
NDQ327;30A-59A;
NDQ328;60A+;
